trade_ids,team_id,team_abbreviation,season_end_year,trade_date,n_players_acquired,trade_classification,min_deltaP_acquired,games_pre,games_post,WPA_time_pre,WPA_time_post,WPA_rate_pre,WPA_rate_post,delta_WPA_time,conference,conf_rank_pre_trade,win_pct_pre_trade,objetivo_sazonal,cluster,cluster_name,cluster_post_trade,cluster_name_post_trade
27,1610612742,DAL,2023,2023-02-06,2,Preenche Lacuna,-5.55188045765001e-05,54,28,18.990000000000002,12.629999999999999,0.3516666666666667,0.4510714285714285,0.09940476190476183,West,6,0.5185185185185185,Contender,1,Defensivo,1,Defensivo
"24,28",1610612742,DAL,2024,2024-02-08,2,Preenche Lacuna,-0.0012305043859444243,51,31,19.58,12.23,0.38392156862745097,0.3945161290322581,0.010594560404807107,West,8,0.5490196078431373,Intermediario,3,Elite,3,Elite
31,1610612742,DAL,2025,2025-02-02,2,Redundante,0.0018517547656716014,49,33,14.63,8.43,0.2985714285714286,0.25545454545454543,-0.043116883116883165,West,8,0.5306122448979592,Intermediario,1,Defensivo,2,Reconstrução
28,1610612742,DAL,2025,2025-02-04,1,Preenche Lacuna,-0.00436596402472964,50,32,14.34,8.72,0.2868,0.2725,-0.01429999999999998,West,8,0.52,Intermediario,1,Defensivo,2,Reconstrução
19,1610612743,DEN,2015,2015-02-19,3,Preenche Lacuna,-0.018488925739863445,53,29,-1.8400000000000003,0.2300000000000001,-0.034716981132075476,0.007931034482758625,0.0426480156148341,West,11,0.37735849056603776,Tanking,0,Ofensivo,0,Ofensivo
36,1610612743,DEN,2017,2017-01-17,1,Preenche Lacuna,-0.01768140086488272,39,43,2.07,10.32,0.05307692307692307,0.24000000000000002,0.18692307692307694,West,9,0.41025641025641024,Intermediario,0,Ofensivo,3,Elite
34,1610612743,DEN,2017,2017-02-13,1,Preenche Lacuna,-0.0010066347212696464,54,28,4.890000000000001,7.500000000000001,0.09055555555555557,0.2678571428571429,0.17730158730158735,West,8,0.4444444444444444,Intermediario,0,Ofensivo,3,Elite
27,1610612743,DEN,2017,2017-02-23,1,Preenche Lacuna,-0.0015216267156540342,56,26,5.03,7.359999999999999,0.08982142857142858,0.28307692307692306,0.19325549450549448,West,8,0.44642857142857145,Intermediario,0,Ofensivo,3,Elite
78,1610612743,DEN,2018,2018-02-08,1,Redundante,0.004420093560999375,54,28,9.07,7.88,0.16796296296296298,0.2814285714285714,0.11346560846560844,West,6,0.5370370370370371,Contender,0,Ofensivo,0,Ofensivo
29,1610612743,DEN,2020,2020-02-05,4,Preenche Lacuna,-0.0007581561257604778,51,14,10.8504,-0.12130000000000007,0.2127529411764706,-0.00866428571428572,-0.2214172268907563,West,3,0.6862745098039216,Contender,1,Defensivo,0,Ofensivo
20,1610612743,DEN,2020,2020-02-06,1,Redundante,0.00974458477848656,52,13,11.3762,-0.6471,0.21877307692307693,-0.04977692307692308,-0.26855,West,3,0.6923076923076923,Contender,1,Defensivo,0,Ofensivo
"25,26",1610612743,DEN,2021,2021-03-25,3,Preenche Lacuna,-0.017147357715857372,44,28,4.3279086263,7.469002604899999,0.09836155968863637,0.2667500930321428,0.16838853334350645,West,5,0.5909090909090909,Contender,0,Ofensivo,0,Ofensivo
32,1610612743,DEN,2022,2022-01-19,1,Preenche Lacuna,-0.003030666226392928,42,40,8.08,15.49,0.19238095238095237,0.38725,0.1948690476190476,West,6,0.5238095238095238,Contender,1,Defensivo,0,Ofensivo
16,1610612743,DEN,2023,2023-02-09,1,Redundante,0.0010137057012398068,55,27,21.68,8.030000000000001,0.3941818181818182,0.29740740740740745,-0.09677441077441074,West,1,0.6909090909090909,Contender,3,Elite,1,Defensivo
31,1610612744,GSW,2014,2014-01-15,2,Preenche Lacuna,-0.0011699403387538578,39,43,2.48,9.04,0.06358974358974359,0.21023255813953487,0.14664281454979128,West,5,0.6410256410256411,Contender,3,Elite,3,Elite
28,1610612744,GSW,2014,2014-02-19,1,Preenche Lacuna,-0.00012689680840101067,53,29,4.390000000000001,7.13,0.0828301886792453,0.24586206896551724,0.16303188028627194,West,7,0.5849056603773585,Intermediario,3,Elite,3,Elite
22,1610612744,GSW,2020,2020-02-06,1,Redundante,9.906475086924986e-05,52,13,-11.6265,-3.5826,-0.22358653846153848,-0.2755846153846154,-0.0519980769230769,West,15,0.23076923076923078,Tanking,2,Reconstrução,2,Reconstrução
19,1610612744,GSW,2023,2023-02-09,1,Redundante,0.0034963389601059573,55,27,16.64,9.69,0.30254545454545456,0.35888888888888887,0.05634343434343431,West,9,0.509090909090909,Intermediario,3,Elite,3,Elite
36,1610612744,GSW,2025,2024-12-15,1,Redundante,0.02201687682377727,24,58,3.5,16.659999999999997,0.14583333333333334,0.28724137931034477,0.14140804597701143,West,5,0.5833333333333334,Contender,3,Elite,3,Elite
14,1610612744,GSW,2025,2025-02-06,1,Redundante,0.0024593636102680817,50,32,9.99,10.170000000000002,0.1998,0.31781250000000005,0.11801250000000005,West,9,0.5,Intermediario,3,Elite,3,Elite
27,1610612745,HOU,2013,2013-02-20,3,Preenche Lacuna,-0.005341888400077664,55,27,5.459999999999999,3.95,0.09927272727272726,0.1462962962962963,0.04702356902356905,West,8,0.5272727272727272,Intermediario,3,Elite,3,Elite
19,1610612745,HOU,2014,2014-02-20,1,Preenche Lacuna,-0.0043972042961944995,54,28,7.42,5.870000000000001,0.1374074074074074,0.2096428571428572,0.07223544973544979,West,3,0.6851851851851852,Contender,3,Elite,3,Elite
"27,28",1610612745,HOU,2015,2015-02-19,2,Redundante,0.004892681245997942,53,29,3.69,3.5599999999999996,0.06962264150943397,0.12275862068965517,0.0531359791802212,West,3,0.6792452830188679,Contender,3,Elite,3,Elite
23,1610612745,HOU,2016,2016-01-22,1,Preenche Lacuna,-0.010837840224978664,44,38,4.33,5.5,0.0984090909090909,0.14473684210526316,0.04632775119617226,West,7,0.5,Intermediario,0,Ofensivo,3,Elite
26,1610612745,HOU,2017,2017-02-23,1,Preenche Lacuna,-0.0004456522358294891,58,24,15.309999999999999,6.890000000000001,0.2639655172413793,0.28708333333333336,0.02311781609195407,West,3,0.6896551724137931,Contender,3,Elite,3,Elite
26,1610612745,HOU,2019,2019-02-07,3,Redundante,0.0179947786236584,54,28,10.2204,7.818900000000001,0.18926666666666667,0.2792464285714286,0.08997976190476195,West,5,0.5925925925925926,Contender,3,Elite,3,Elite
29,1610612745,HOU,2020,2020-02-05,2,Preenche Lacuna,-0.024796427621323308,50,14,9.668099999999999,0.7911000000000001,0.19336199999999998,0.05650714285714287,-0.1368548571428571,West,5,0.64,Contender,3,Elite,3,Elite
26,1610612745,HOU,2020,2020-02-06,1,Preenche Lacuna,-0.015423341951048232,50,14,9.668099999999999,0.7911000000000001,0.19336199999999998,0.05650714285714287,-0.1368548571428571,West,4,0.64,Contender,3,Elite,3,Elite
36,1610612745,HOU,2021,2021-01-22,1,Preenche Lacuna,-0.012663685144676196,13,59,-3.9782,-13.5489,-0.30601538461538463,-0.22964237288135592,0.07637301173402872,West,14,0.3076923076923077,Tanking,1,Defensivo,2,Reconstrução
31,1610612745,HOU,2021,2021-03-19,2,Preenche Lacuna,-0.004801291023183569,39,33,-7.8763,-9.6508,-0.20195641025641026,-0.29244848484848485,-0.09049207459207459,West,14,0.28205128205128205,Tanking,2,Reconstrução,2,Reconstrução
18,1610612745,HOU,2021,2021-03-25,2,Preenche Lacuna,-0.009628764498763322,43,29,-8.769300000000001,-8.7578,-0.20393720930232562,-0.30199310344827585,-0.09805589414595023,West,14,0.27906976744186046,Tanking,2,Reconstrução,2,Reconstrução
18,1610612745,HOU,2022,2022-02-10,2,Preenche Lacuna,-0.0025370573207122576,54,28,7.630000000000001,3.42,0.1412962962962963,0.12214285714285714,-0.019153439153439172,West,15,0.2777777777777778,Tanking,2,Reconstrução,2,Reconstrução
"17,18",1610612745,HOU,2023,2023-02-09,4,Preenche Lacuna,-0.005682510207967349,55,27,2.8999999999999995,2.9299999999999997,0.05272727272727272,0.10851851851851851,0.055791245791245794,West,15,0.23636363636363636,Tanking,2,Reconstrução,2,Reconstrução
35,1610612745,HOU,2024,2024-02-02,1,Preenche Lacuna,-0.00023908580438871492,47,35,10.52,9.11,0.22382978723404254,0.2602857142857143,0.03645592705167175,West,11,0.46808510638297873,Tanking,0,Ofensivo,0,Ofensivo
27,1610612745,HOU,2025,2025-02-05,1,Redundante,0.0012726198780500242,50,32,8.35,5.319999999999999,0.16699999999999998,0.16624999999999998,-0.0007500000000000007,West,3,0.64,Contender,0,Ofensivo,0,Ofensivo
