team_id,team_abbreviation,team_name,season_end_year,season_year,style_cluster,style_label,performance_cluster,performance_label
1610612751,BKN,Brooklyn Nets,2018,2017-18,0,Alto Turnover,1,1: Offensive / High Pace
1610612751,BKN,Brooklyn Nets,2019,2018-19,0,Alto Turnover,1,1: Offensive / High Pace
1610612751,BKN,Brooklyn Nets,2020,2019-20,0,Alto Turnover,1,1: Offensive / High Pace
1610612751,BKN,Brooklyn Nets,2021,2020-21,2,Time Cuidadoso (baixo turnover),3,3: Elite Contenders
1610612751,BKN,Brooklyn Nets,2022,2021-22,3,Bola em Movimento (alta assistência),0,0: Defensive / Slow Pace
1610612751,BKN,Brooklyn Nets,2023,2022-23,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612751,BKN,Brooklyn Nets,2024,2023-24,0,Alto Turnover,1,1: Offensive / High Pace
1610612751,BKN,Brooklyn Nets,2025,2024-25,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612752,NYK,New York Knicks,2013,2012-13,1,Aro Desguarnecido,3,3: Elite Contenders
1610612752,NYK,New York Knicks,2014,2013-14,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612752,NYK,New York Knicks,2015,2014-15,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612752,NYK,New York Knicks,2016,2015-16,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612752,NYK,New York Knicks,2017,2016-17,0,Alto Turnover,1,1: Offensive / High Pace
1610612752,NYK,New York Knicks,2018,2017-18,2,Time Cuidadoso (baixo turnover),2,2: Rebuilding / Lottery
1610612752,NYK,New York Knicks,2019,2018-19,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612752,NYK,New York Knicks,2020,2019-20,0,Alto Turnover,2,2: Rebuilding / Lottery
1610612752,NYK,New York Knicks,2021,2020-21,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612752,NYK,New York Knicks,2022,2021-22,0,Alto Turnover,1,1: Offensive / High Pace
1610612752,NYK,New York Knicks,2023,2022-23,3,Bola em Movimento (alta assistência),1,1: Offensive / High Pace
1610612752,NYK,New York Knicks,2024,2023-24,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612752,NYK,New York Knicks,2025,2024-25,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612753,ORL,Orlando Magic,2013,2012-13,2,Time Cuidadoso (baixo turnover),2,2: Rebuilding / Lottery
1610612753,ORL,Orlando Magic,2014,2013-14,2,Time Cuidadoso (baixo turnover),2,2: Rebuilding / Lottery
1610612753,ORL,Orlando Magic,2015,2014-15,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612753,ORL,Orlando Magic,2016,2015-16,3,Bola em Movimento (alta assistência),1,1: Offensive / High Pace
1610612753,ORL,Orlando Magic,2017,2016-17,2,Time Cuidadoso (baixo turnover),2,2: Rebuilding / Lottery
1610612753,ORL,Orlando Magic,2018,2017-18,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612753,ORL,Orlando Magic,2019,2018-19,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612753,ORL,Orlando Magic,2020,2019-20,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612753,ORL,Orlando Magic,2021,2020-21,2,Time Cuidadoso (baixo turnover),2,2: Rebuilding / Lottery
1610612753,ORL,Orlando Magic,2022,2021-22,2,Time Cuidadoso (baixo turnover),2,2: Rebuilding / Lottery
1610612753,ORL,Orlando Magic,2023,2022-23,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612753,ORL,Orlando Magic,2024,2023-24,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612753,ORL,Orlando Magic,2025,2024-25,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612754,IND,Indiana Pacers,2013,2012-13,0,Alto Turnover,0,0: Defensive / Slow Pace
1610612754,IND,Indiana Pacers,2014,2013-14,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612754,IND,Indiana Pacers,2015,2014-15,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612754,IND,Indiana Pacers,2016,2015-16,3,Bola em Movimento (alta assistência),0,0: Defensive / Slow Pace
1610612754,IND,Indiana Pacers,2017,2016-17,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612754,IND,Indiana Pacers,2018,2017-18,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612754,IND,Indiana Pacers,2019,2018-19,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612754,IND,Indiana Pacers,2020,2019-20,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612754,IND,Indiana Pacers,2021,2020-21,3,Bola em Movimento (alta assistência),1,1: Offensive / High Pace
1610612754,IND,Indiana Pacers,2022,2021-22,0,Alto Turnover,1,1: Offensive / High Pace
1610612754,IND,Indiana Pacers,2023,2022-23,3,Bola em Movimento (alta assistência),1,1: Offensive / High Pace
1610612754,IND,Indiana Pacers,2024,2023-24,3,Bola em Movimento (alta assistência),3,3: Elite Contenders
1610612754,IND,Indiana Pacers,2025,2024-25,2,Time Cuidadoso (baixo turnover),1,1: Offensive / High Pace
1610612755,PHI,Philadelphia 76ers,2013,2012-13,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612755,PHI,Philadelphia 76ers,2014,2013-14,3,Bola em Movimento (alta assistência),2,2: Rebuilding / Lottery
1610612755,PHI,Philadelphia 76ers,2015,2014-15,0,Alto Turnover,2,2: Rebuilding / Lottery
1610612755,PHI,Philadelphia 76ers,2016,2015-16,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612755,PHI,Philadelphia 76ers,2017,2016-17,3,Bola em Movimento (alta assistência),2,2: Rebuilding / Lottery
